start_date,end_date,consolidated_power_consumption_value,updated_date,status
2021-01-03 00:00:00+01:00,2021-01-03 00:30:00+01:00,67634,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 23:30:00+01:00,2021-01-05 00:00:00+01:00,74113,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 23:00:00+01:00,2021-01-04 23:30:00+01:00,74281,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 22:30:00+01:00,2021-01-04 23:00:00+01:00,75267,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 22:00:00+01:00,2021-01-04 22:30:00+01:00,73354,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 21:30:00+01:00,2021-01-04 22:00:00+01:00,73260,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 21:00:00+01:00,2021-01-04 21:30:00+01:00,74947,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 20:30:00+01:00,2021-01-04 21:00:00+01:00,77025,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 20:00:00+01:00,2021-01-04 20:30:00+01:00,79245,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 19:30:00+01:00,2021-01-04 20:00:00+01:00,81624,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 19:00:00+01:00,2021-01-04 19:30:00+01:00,84161,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 18:30:00+01:00,2021-01-04 19:00:00+01:00,85282,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 18:00:00+01:00,2021-01-04 18:30:00+01:00,84073,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 17:30:00+01:00,2021-01-04 18:00:00+01:00,82434,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 17:00:00+01:00,2021-01-04 17:30:00+01:00,80534,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 16:30:00+01:00,2021-01-04 17:00:00+01:00,78839,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 16:00:00+01:00,2021-01-04 16:30:00+01:00,78479,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 15:30:00+01:00,2021-01-04 16:00:00+01:00,78723,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 15:00:00+01:00,2021-01-04 15:30:00+01:00,79258,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 14:30:00+01:00,2021-01-04 15:00:00+01:00,79827,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 14:00:00+01:00,2021-01-04 14:30:00+01:00,81055,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 13:30:00+01:00,2021-01-04 14:00:00+01:00,82054,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 13:00:00+01:00,2021-01-04 13:30:00+01:00,82958,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 12:30:00+01:00,2021-01-04 13:00:00+01:00,84184,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 12:00:00+01:00,2021-01-04 12:30:00+01:00,83799,2023-10-23 17:38:58+02:00,FINAL
